2018-02-05 19:57:35,152 DEBUG    [63638] (deoplete.child) main_loop: add_source
2018-02-05 19:57:35,152 DEBUG    [63639] (deoplete.child) main_loop: begin
2018-02-05 19:57:35,152 DEBUG    [63638] (deoplete.child) Loaded Source: vim (/Users/mhartington/.config/nvim/.cache/init.vim/.dein/rplugin/python3/deoplete/sources/vim.py)
2018-02-05 19:57:35,152 DEBUG    [63639] (deoplete.child) main_loop: add_source
2018-02-05 19:57:35,153 DEBUG    [63639] (deoplete.child) Loaded Source: file/include (/Users/mhartington/.config/nvim/.cache/init.vim/.dein/rplugin/python3/deoplete/sources/file_include.py)
2018-02-05 19:57:35,162 DEBUG    [63639] (deoplete.child) main_loop: begin
2018-02-05 19:57:35,162 DEBUG    [63639] (deoplete.child) main_loop: set_source_attributes
2018-02-05 19:57:35,163 DEBUG    [63638] (deoplete.child) main_loop: begin
2018-02-05 19:57:35,163 DEBUG    [63638] (deoplete.child) main_loop: set_source_attributes
2018-02-05 19:57:35,164 DEBUG    [63639] (deoplete.child) main_loop: begin
2018-02-05 19:57:35,164 DEBUG    [63639] (deoplete.child) main_loop: set_custom
2018-02-05 19:57:35,164 DEBUG    [63638] (deoplete.child) main_loop: begin
2018-02-05 19:57:35,164 DEBUG    [63638] (deoplete.child) main_loop: set_custom
2018-02-05 19:57:35,164 DEBUG    [63639] (deoplete.child) main_loop: begin
2018-02-05 19:57:35,164 DEBUG    [63639] (deoplete.child) main_loop: add_filter
2018-02-05 19:57:35,165 DEBUG    [63637] (deoplete.child) Loaded Source: jedi (/Users/mhartington/.config/nvim/.cache/init.vim/.dein/rplugin/python3/deoplete/sources/deoplete_jedi.py)
2018-02-05 19:57:35,165 DEBUG    [63639] (deoplete.child) main_loop: begin
2018-02-05 19:57:35,165 DEBUG    [63638] (deoplete.child) main_loop: begin
2018-02-05 19:57:35,166 DEBUG    [63638] (deoplete.child) main_loop: add_filter
2018-02-05 19:57:35,166 DEBUG    [63639] (deoplete.child) main_loop: add_filter
2018-02-05 19:57:35,166 DEBUG    [63639] (deoplete.child) Loaded Filter: converter_auto_delimiter (/Users/mhartington/.config/nvim/.cache/init.vim/.dein/rplugin/python3/deoplete/filter/converter_auto_delimiter.py)
2018-02-05 19:57:35,167 DEBUG    [63638] (deoplete.child) main_loop: begin
2018-02-05 19:57:35,167 DEBUG    [63638] (deoplete.child) main_loop: add_filter
